set1,set2,set3,set4,set5,set6,set7,set8,set9,set10
53.6,46.5,,,46.9,42.4,40.5,41.3,,
53.5,46,,,46.9,41.6,36.5,41.2,,
53.5,45.7,,,46.8,39.1,40.3,41.2,,
53.5,45.4,,,46.7,34.6,40.3,41.2,,
53.5,44.8,,,35.3,31.6,40.1,41.1,,
53.4,43.7,,,49.6,28.3,40,40.9,,
53.3,43,,,49.5,28.2,39.9,40.8,,
44.3,41.2,,,49.4,28.1,39.9,40.8,,
31.2,39.8,,,49.3,28,39.8,40.6,,
53.4,38.7,,,49.2,28,40.2,40.7,,
53.2,37.4,,,49.2,27.9,40.2,40.8,,
53,36.5,,,43.3,26.8,40.3,40.8,,
52.9,35.8,,,48.2,13.3,40.1,40.6,,
53.4,34.9,,,47.9,14.5,40.1,40.5,,
53.4,34.2,,,26.8,26.2,40.2,40.7,,
53.4,33.5,,,45.8,19.7,40.2,40.7,,
53.3,32.8,,,44.6,26.1,40.2,40.6,,
53.3,33.7,,,41.7,25.5,40.1,40.5,,
53.3,32.9,,,35,25.5,40.1,40.4,,
53.2,31.8,,,38.8,25.2,40.1,40.5,,
53.2,31,,,38.2,25,40,40.4,,
53.2,29.9,,,38,24.4,40,40.4,,
53.1,29.1,,,37.8,24.2,40,40.4,,
53.1,27.1,,,37.7,24.4,40,40.4,,
53.1,24,,,37.6,24.3,39.9,40.3,,
53.1,24,,,37.5,24.2,39.8,40.2,,
,,,,37.3,24.1,39.8,40.1,,
,,,,37.6,24,39.8,40.1,,
,,,,37.5,24,39.8,40,,
,,,,37.3,23.8,39.7,39.9,,
,,,,36.9,23.8,39.7,39.8,,
,,,,36.4,23.4,39.6,39.7,,
,,,,36.1,22.8,39.5,39.6,,
,,,,35.8,22.2,39.4,39.4,,
,,,,35.1,21.6,39.3,39.3,,
,,,,32,21.5,39.3,39.3,,
,,,,31.8,21.3,37.4,37.3,,
,,,,30.4,20.4,37.1,38.4,,
,,,,,,39,39.5,,
,,,,,,38.9,39.4,,
,,,,,,38.8,39.2,,
,,,,,,38.7,39.6,,
,,,,,,38.4,39.3,,
,,,,,,38.4,39.3,,
,,,,,,38.3,39.1,,
,,,,,,38.2,38.9,,
,,,,,,38.3,39,,
,,,,,,38.3,39,,
,,,,,,38.2,38.9,,
,,,,,,38.2,39,,
,,,,,,38.1,38.8,,
,,,,,,38,38.6,,
,,,,,,37.8,38.6,,
,,,,,,37.9,38.6,,
,,,,,,37.6,38.5,,
,,,,,,37.8,38.5,,
,,,,,,37.9,38.5,,
,,,,,,37.9,38.5,,
,,,,,,36.2,38.2,,
,,,,,,34.4,38,,
,,,,,,37.4,38.3,,
,,,,,,37.5,38.3,,
,,,,,,37.3,38.2,,
,,,,,,37.2,38.1,,
,,,,,,37.9,38.8,,
,,,,,,38.2,39,,
,,,,,,38.2,39,,
,,,,,,38.1,39,,
,,,,,,38.1,39,,
,,,,,,38.1,38.8,,
,,,,,,38,38.7,,
