CW.FP.TONS,ELE.POWER,Elec.Solar.Power,MASS.FLOW
7.803070068,30.70000076,0.699999988,710.3226318
8.647359848,31.70000076,0.699999988,684.9603882
8.309740067,32.40000153,0.699999988,709.1046143
8.672249794,35.79999924,0.699999988,662.5397339
9.793769836,35.40000153,0.699999988,709.7496948
6.57487011,37.40000153,0.699999988,703.6276855
6.607500076,37.20000076,0.699999988,709.6589355
8.263110161,36.29999924,0.699999988,674.1611938
6.335229874,36.59999847,0.699999988,712.6801147
9.706540108,34.90000153,0.699999988,717.1544189
6.5240798,35.5,0.699999988,719.9143677
6.399779797,35.20000076,0.699999988,714.4760742
7.596829891,35.79999924,0.699999988,719.7215576
5.768750191,34.59999847,0.699999988,787.1627197
8.246769905,35.20000076,0.699999988,723.5059204
6.15471983,36,0.699999988,850.6620483
6.436950207,34.70000076,0.699999988,723.5939331
7.89703989,31.79999924,0.699999988,718.9215088
6.646800041,31.70000076,0.699999988,716.3167114
6.272160053,36.40000153,0.699999988,724.0098877
8.363080025,31.20000076,0.699999988,848.2277832
7.333610058,31.20000076,0.699999988,736.3101196
6.023729801,31.10000038,0.699999988,852.8686523
7.018229961,30.60000038,0.699999988,729.2991333
5.508049965,31.79999924,0.699999988,735.8050537
5.777460098,35.09999847,0.699999988,842.7932739
8.358469963,32.5,0.699999988,721.5078125
7.253089905,31.39999962,0.699999988,839.0369873
5.895100117,30.5,0.699999988,723.0081177
7.697649956,33,0.699999988,735.2471924
6.186500072,33.20000076,0.699999988,730.538208
6.031030178,33.40000153,0.699999988,715.4365234
8.203149796,31.5,0.699999988,711.7998657
8.536510468,31,0.699999988,712.8109131
7.735779762,33.79999924,0.699999988,706.9744263
9.098039627,31.60000038,0.699999988,728.3265381
8.459540367,33.29999924,0.699999988,729.0687256
9.761779785,33.5,0.699999988,598.0221558
9.350469589,33.29999924,0.699999988,723.1948242
8.813059807,33.70000076,0.699999988,731.1824341
9.711850166,33,0.699999988,733.242981
9.259819984,31.10000038,0.699999988,856.8439331
9.101550102,31.70000076,0.699999988,734.5969849
8.330860138,33,0.699999988,717.7528076
10.35999966,31.5,0.699999988,711.2421875
9.909859657,34.29999924,0.699999988,710.921875
9.458479881,33.59999847,0.699999988,713.2266846
10.47980022,35,0.699999988,707.2385254
9.343709946,33.29999924,0.699999988,709.5967407
10.33450031,33.40000153,0.699999988,593.5245972
9.852239609,30.60000038,0.699999988,711.994812
9.011730194,30.20000076,0.699999988,599.0258789
9.816809654,33.90000153,0.699999988,705.0878906
9.124930382,42,0.699999988,700.2728882
10.54800034,37.09999847,0.699999988,653.4272461
9.134960175,37.09999847,0.699999988,698.569397
10.7652998,34,0.699999988,581.8450928
8.490400314,32.20000076,0.699999988,700.2200928
10.52400017,36.79999924,0.699999988,634.6330566
9.235389709,39.5,0.699999988,706.3364868
7.916769981,37.20000076,0.699999988,709.8048096
10.72379971,37.20000076,0.699999988,597.9665527
8.014630318,31.39999962,0.699999988,706.5824585
7.965680122,36.5,0.699999988,579.7963257
9.725560188,31.5,0.699999988,698.6162109
9.979780197,35.90000153,0.699999988,698.9046631
7.942420006,37,0.699999988,706.173584
9.84525013,33.20000076,0.699999988,709.4581299
7.795859814,34.20000076,0.699999988,712.9546509
8.165539742,33.79999924,0.699999988,714.623291
6.436230183,35.09999847,0.699999988,714.253418
7.160099983,33.70000076,0.699999988,714.7052612
7.172729969,36.40000153,0.699999988,708.4378662
6.155749798,35.20000076,0.699999988,709.083313
7.180510044,34.29999924,0.699999988,668.2907104
6.886970043,33.70000076,0.699999988,709.1712036
6.370800018,32.40000153,0.699999988,716.0681763
9.491430283,33.20000076,0.699999988,715.7974854
6.138840199,32.20000076,0.699999988,629.6154175
7.645440102,31.79999924,0.699999988,696.5360107
6.388969898,31.20000076,0.699999988,577.2196045
7.09221983,32.59999847,0.699999988,690.6765137
9.327529907,32.09999847,0.699999988,690.1478271
6.510650158,31.60000038,0.699999988,708.0525513
8.193539619,31.29999924,0.699999988,712.0736084
8.913209915,33.09999847,0.699999988,710.6748047
8.075460434,34.59999847,0.699999988,708.539978
9.636610031,33.79999924,0.699999988,688.7525635
8.260809898,31.89999962,0.699999988,710.6296997
8.936599731,33.40000153,0.699999988,639.5750122
8.599679947,33.09999847,0.699999988,709.569397
9.313599586,32.20000076,0.699999988,614.1404419
8.339010239,30.79999924,0.699999988,704.2138672
6.509520054,31.70000076,0.699999988,647.4813232
9.602009773,33.5,0.699999988,702.5742188
8.260769844,32.29999924,0.699999988,702.7996826
9.300470352,35,0.699999988,706.5592651
6.836569786,31.70000076,0.699999988,711.0155029
7.369540215,32.5,0.699999988,714.6705933
9.191390038,32.79999924,0.699999988,711.6524658
6.826039791,35.20000076,0.699999988,581.7449951
7.881199837,36.29999924,0.699999988,720.5947876
8.265529633,36.5,0.699999988,610.6243286
8.659879684,32.79999924,0.699999988,721.0610352
9.812199593,34.29999924,0.699999988,723.4916992
7.715680122,37.29999924,0.699999988,709.5601196
6.953529835,36.09999847,0.699999988,706.0462646
10.53559971,35.40000153,0.699999988,713.5213013
7.842030048,37.40000153,0.699999988,716.0270996
8.485500336,34.70000076,0.699999988,716.7660522
7.351469994,35.59999847,0.699999988,715.6681519
6.682089806,36.79999924,0.699999988,601.5114136
7.865849972,37.29999924,0.699999988,712.7555542
6.412119865,36.09999847,0.699999988,597.076355
7.407700062,32.29999924,0.699999988,716.3317871
6.574279785,32.20000076,0.699999988,702.4643555
6.219439983,38.5,0.699999988,722.3581543
10.84939957,39.20000076,0.699999988,847.8903198
6.701550007,39.59999847,0.699999988,725.5742798
8.516570091,41.79999924,0.699999988,855.831604
5.673649788,42.79999924,0.699999988,721.421814
8.038669586,43.40000153,0.699999988,725.6077881
6.808199883,66.90000153,0.699999988,731.6932983
6.770689964,41.29999924,0.699999988,733.362915
9.777839661,44.29999924,0.699999988,793.8830566
8.046110153,48.79999924,0.699999988,754.8995361
11.75319958,48.5,0.699999988,871.6447144
8.127039909,53.79999924,0.699999988,756.8323975
9.952949524,60.79999924,0.699999988,839.1209717
10.05920029,67.59999847,0.699999988,873.8346558
10.01990032,75,0.699999988,752.116394
